Player,Role,Amount,Team,Year,Player Origin,Played For Country,dob
Jaydev Unadkat,Bowler,30000000,Rajasthan Royals,2020.0,Indian,1.0,1991-10-18
Josh Hazlewood,Bowler,20000000,Chennai Super Kings,2020.0,Overseas,1.0,1991-01-08
Joshua Philippe,Wicket Keeper,2000000,Royal Challengers Bangalore,2020.0,Overseas,0.0,
Kane Richardson,Bowler,40000000,Royal Challengers Bangalore,2020.0,Overseas,1.0,1991-02-12
Kartik Tyagi,Bowler,13000000,Rajasthan Royals,2020.0,Indian,0.0,2000-11-08
Lalit Yadav,All-Rounder,2000000,Delhi Capitals,2020.0,Indian,0.0,1997-01-03
M Siddharth,Bowler,2000000,Kolkata Knight Riders,2020.0,Indian,0.0,1990-10-03
Marcus Stoinis,All-Rounder,48000000,Delhi Capitals,2020.0,Overseas,1.0,1989-08-16
Mitchell Marsh,All-Rounder,20000000,Sunrisers Hyderabad,2020.0,Overseas,1.0,1991-10-20
Mohit Sharma,Bowler,5000000,Delhi Capitals,2020.0,Indian,1.0,1991-12-19
Mohsin Khan,Bowler,2000000,Mumbai Indians,2020.0,Indian,0.0,2003-10-03
Nathan Coulter-Nile,Bowler,80000000,Mumbai Indians,2020.0,Overseas,1.0,1987-10-11
Nikhil Shankar Naik,Wicket Keeper,2000000,Kolkata Knight Riders,2020.0,Indian,0.0,
Oshane Thomas,Bowler,5000000,Rajasthan Royals,2020.0,Overseas,1.0,1997-02-18
Pat Cummins,All-Rounder,155000000,Kolkata Knight Riders,2020.0,Overseas,1.0,1993-05-08
Pavan Deshpande,All-Rounder,2000000,Royal Challengers Bangalore,2020.0,Indian,0.0,1989-09-16
Piyush Chawla,Bowler,67500000,Chennai Super Kings,2020.0,Indian,1.0,1988-12-24
Prabhsimran Singh,Wicket Keeper,5500000,Kings XI Punjab,2020.0,Indian,0.0,2000-08-10
Pravin Tambe,Bowler,2000000,Kolkata Knight Riders,2020.0,Indian,0.0,1971-10-08
Prince Balwant Rai Singh,All-Rounder,2000000,Mumbai Indians,2020.0,Indian,0.0,
Priyam Garg,Batsman,19000000,Sunrisers Hyderabad,2020.0,Indian,0.0,2000-11-30
R. Sai Kishore,Bowler,2000000,Chennai Super Kings,2020.0,Indian,0.0,1996-11-06
Rahul Tripathi,Batsman,6000000,Kolkata Knight Riders,2020.0,Indian,0.0,1991-03-02
Ravi Bishnoi,Bowler,20000000,Kings XI Punjab,2020.0,Indian,0.0,2000-09-05
Robin Uthappa,Batsman,30000000,Rajasthan Royals,2020.0,Indian,1.0,1985-11-11
Sam Curran,All-Rounder,55000000,Chennai Super Kings,2020.0,Overseas,1.0,1998-06-03
Sandeep Bavanaka,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Overseas,0.0,
Sanjay Yadav,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,0.0,1995-05-10
Saurabh Tiwary,Batsman,5000000,Mumbai Indians,2020.0,Indian,0.0,1989-12-30
Shahbaz Ahamad,Wicket Keeper,2000000,Royal Challengers Bangalore,2020.0,Indian,0.0,
Sheldon Cottrell,Bowler,85000000,Kings XI Punjab,2020.0,Overseas,1.0,1989-08-19
Shimron Hetmyer,Batsman,77500000,Delhi Capitals,2020.0,Overseas,1.0,1996-12-26
Tajinder Dhillon,All-Rounder,2000000,Kings XI Punjab,2020.0,Indian,0.0,1992-05-25
Tom Banton,Batsman,10000000,Kolkata Knight Riders,2020.0,Overseas,1.0,1998-11-11
Tom Curran,All-Rounder,10000000,Rajasthan Royals,2020.0,Overseas,1.0,1995-03-12
Tushar Deshpande,Bowler,2000000,Delhi Capitals,2020.0,Indian,0.0,1995-05-15
Varun Chakaravarthy,All-Rounder,40000000,Kolkata Knight Riders,2020.0,Indian,0.0,1991-08-29
Virat Singh,Batsman,19000000,Sunrisers Hyderabad,2020.0,Indian,0.0,1997-12-08
Yashasvi Jaiswal,All-Rounder,24000000,Rajasthan Royals,2020.0,Indian,0.0,2001-12-28
