Player,Role,Amount,Team,Year,Player Origin,dob,Played For Country
Manan Vohra,Batsman,11000000,Royal Challengers Bangalore,2018.0,Indian,1993-07-18,0.0
Mandeep Singh,All-Rounder,14000000,Royal Challengers Bangalore,2018.0,Indian,1999-02-10,1.0
Manish Pandey,Batsman,110000000,Sunrisers Hyderabad,2018.0,Indian,1989-09-10,1.0
Manjot Kalra,Batsman,2000000,Delhi Daredevils,2018.0,Indian,1999-01-15,0.0
Manoj Tiwary,Batsman,10000000,Kings XI Punjab,2018.0,Indian,1985-11-14,1.0
Manzoor Dar,All-Rounder,2000000,Kings XI Punjab,2018.0,Indian,1974-07-02,0.0
Marcus Stoinis,All-Rounder,62000000,Kings XI Punjab,2018.0,Overseas,1989-08-16,1.0
Mark Wood,Bowler,15000000,Chennai Super Kings,2018.0,Overseas,1990-01-11,1.0
Mayank Agarwal,Batsman,10000000,Kings XI Punjab,2018.0,Indian,1991-02-16,0.0
Mayank Dagar,All-Rounder,2000000,Kings XI Punjab,2018.0,Indian,1996-11-11,0.0
Mayank Markande,Bowler,2000000,Mumbai Indians,2018.0,Indian,1997-11-11,0.0
Midhun S,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,,0.0
Mitchell Johnson,Bowler,20000000,Kolkata Knight Riders,2018.0,Overseas,1981-11-02,1.0
Mitchell Santner,All-Rounder,5000000,Chennai Super Kings,2018.0,Overseas,1992-02-05,1.0
Mitchell Starc,Bowler,94000000,Kolkata Knight Riders,2018.0,Overseas,1990-01-30,1.0
Moeen Ali,All-Rounder,17000000,Royal Challengers Bangalore,2018.0,Overseas,1987-06-18,1.0
Mohammad Nabi,All-Rounder,10000000,Sunrisers Hyderabad,2018.0,Overseas,1985-01-01,1.0
Mohammad Shami,Bowler,30000000,Delhi Daredevils,2018.0,Indian,,0.0
Mohammed Siraj,Bowler,26000000,Royal Challengers Bangalore,2018.0,Indian,1994-03-13,1.0
Mohit Sharma,Bowler,24000000,Kings XI Punjab,2018.0,Indian,1991-12-19,1.0
Mohsin Khan,Bowler,2000000,Mumbai Indians,2018.0,Indian,1998-07-15,0.0
Monu Singh,Bowler,2000000,Chennai Super Kings,2018.0,Indian,,0.0
Mujeeb Zadran,Bowler,40000000,Kings XI Punjab,2018.0,Overseas,,0.0
Murali Vijay,Batsman,20000000,Chennai Super Kings,2018.0,Indian,1984-04-01,1.0
Mustafizur Rahman,Bowler,22000000,Mumbai Indians,2018.0,Overseas,1995-09-06,1.0
N Jagadeesan,Wicket Keeper,2000000,Chennai Super Kings,2018.0,Indian,1995-12-24,0.0
Naman Ojha,Wicket Keeper,14000000,Delhi Daredevils,2018.0,Indian,1983-07-20,1.0
Nathan Coulter-Nile,Bowler,22000000,Royal Challengers Bangalore,2018.0,Overseas,1987-10-11,1.0
Navdeep Saini,Bowler,30000000,Royal Challengers Bangalore,2018.0,Indian,1992-11-23,0.0
Nidheesh M D Dinesan,Bowler,2000000,Mumbai Indians,2018.0,Indian,,0.0
Nitish Rana,All-Rounder,34000000,Kolkata Knight Riders,2018.0,Indian,1993-12-27,0.0
Pardeep Sahu,Bowler,2000000,Kings XI Punjab,2018.0,Indian,1985-08-21,0.0
Parthiv Patel,Wicket Keeper,17000000,Royal Challengers Bangalore,2018.0,Indian,1985-03-09,1.0
Pat Cummins,Bowler,54000000,Mumbai Indians,2018.0,Overseas,1993-05-08,1.0
Pavan Deshpande,All-Rounder,2000000,Royal Challengers Bangalore,2018.0,Indian,1989-09-16,0.0
Pawan Negi,All-Rounder,10000000,Royal Challengers Bangalore,2018.0,Indian,1993-01-06,1.0
Piyush Chawla,Bowler,42000000,Kolkata Knight Riders,2018.0,Indian,1988-12-24,1.0
Pradeep Sangwan,Bowler,15000000,Mumbai Indians,2018.0,Indian,1990-11-05,0.0
Prashant Chopra,Wicket Keeper,2000000,Rajasthan Royals,2018.0,Indian,1992-10-07,0.0
Prithvi Shaw,Batsman,12000000,Delhi Daredevils,2018.0,Indian,1999-11-09,0.0
Quinton De Kock,Wicket Keeper,28000000,Royal Challengers Bangalore,2018.0,Overseas,1992-12-17,1.0
Rahul Chahar,Bowler,19000000,Mumbai Indians,2018.0,Indian,1999-08-04,0.0
Rahul Tewatia,All-Rounder,30000000,Delhi Daredevils,2018.0,Indian,1993-05-20,0.0
Rahul Tripathi,Batsman,34000000,Rajasthan Royals,2018.0,Indian,1991-03-02,0.0
Ranganath Vinay Kumar,Bowler,10000000,Kolkata Knight Riders,2018.0,Indian,,1.0
Rashid Khan Arman,Bowler,90000000,Sunrisers Hyderabad,2018.0,Overseas,,0.0
Ravichandran Ashwin,All-Rounder,76000000,Kings XI Punjab,2018.0,Overseas,1986-09-17,1.0
Ricky Bhui,Batsman,2000000,Sunrisers Hyderabad,2018.0,Overseas,1996-09-29,0.0
Rinku Singh,Batsman,8000000,Kolkata Knight Riders,2018.0,Indian,1997-10-12,1.0
Robin Uthappa,Batsman,64000000,Kolkata Knight Riders,2018.0,Indian,1985-11-11,1.0
Sachin Baby,Batsman,2000000,Sunrisers Hyderabad,2018.0,Indian,1988-12-18,0.0
Sam Billings,Wicket Keeper,10000000,Chennai Super Kings,2018.0,Overseas,1991-06-15,1.0
Sandeep Lamichhane,Bowler,2000000,Delhi Daredevils,2018.0,Overseas,2000-08-02,0.0
Sandeep Sharma,Bowler,30000000,Sunrisers Hyderabad,2018.0,Indian,1993-05-18,1.0
Sanju Samson,Wicket Keeper,80000000,Rajasthan Royals,2018.0,Indian,1994-11-11,1.0
Saurabh Tiwary,Batsman,8000000,Mumbai Indians,2018.0,Indian,1989-12-30,0.0
Sayan Ghosh,Bowler,2000000,Delhi Daredevils,2018.0,Indian,1992-09-16,0.0
Shahbaz Nadeem,Bowler,32000000,Delhi Daredevils,2018.0,Indian,1989-08-12,0.0
Shakib Al Hasan,All-Rounder,20000000,Sunrisers Hyderabad,2018.0,Overseas,1987-03-24,1.0
Shane Watson,All-Rounder,40000000,Chennai Super Kings,2018.0,Overseas,1981-06-17,1.0
Sharad Lumba,Batsman,2000000,Mumbai Indians,2018.0,Indian,1989-09-10,0.0
Shardul Thakur,Bowler,26000000,Chennai Super Kings,2018.0,Indian,1991-10-16,0.0
Shikhar Dhawan,Batsman,52000000,Sunrisers Hyderabad,2018.0,Indian,1985-12-05,1.0
Shivam Mavi,All-Rounder,30000000,Kolkata Knight Riders,2018.0,Indian,1998-11-26,0.0
Shreevats Goswami,Wicket Keeper,10000000,Sunrisers Hyderabad,2018.0,Indian,1989-05-18,0.0
Shreyas Gopal,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,1993-09-04,0.0
Shubman Gill,Batsman,18000000,Kolkata Knight Riders,2018.0,Indian,1999-09-08,0.0
Siddarth Kaul,Bowler,38000000,Sunrisers Hyderabad,2018.0,Indian,1990-05-19,0.0
Siddhesh Dinesh Lad,Batsman,2000000,Mumbai Indians,2018.0,Indian,,0.0
Stuart Binny,All-Rounder,5000000,Rajasthan Royals,2018.0,Indian,1984-06-03,1.0
Suryakumar Yadav,Batsman,32000000,Mumbai Indians,2018.0,Indian,1990-09-14,0.0
Syed Khaleel Ahmed,Bowler,30000000,Sunrisers Hyderabad,2018.0,Indian,,0.0
Syed Mehdi Hasan,All-Rounder,2000000,Sunrisers Hyderabad,2018.0,Indian,,0.0
T Natarajan,Bowler,4000000,Sunrisers Hyderabad,2018.0,Indian,1991-04-04,0.0
Tajinder Dhillon,All-Rounder,5500000,Mumbai Indians,2018.0,Indian,1992-05-25,0.0
Tanmay Agarwal,Batsman,2000000,Sunrisers Hyderabad,2018.0,Indian,1995-05-03,0.0
Tim Southee,Bowler,10000000,Royal Challengers Bangalore,2018.0,Overseas,1988-12-11,1.0
Trent Boult,Bowler,22000000,Delhi Daredevils,2018.0,Overseas,1989-07-22,1.0
Umesh Yadav,Bowler,42000000,Royal Challengers Bangalore,2018.0,Indian,1996-07-20,1.0
Vijay Shankar,All-Rounder,32000000,Delhi Daredevils,2018.0,Indian,1991-01-26,0.0
Wriddhiman Saha,Wicket Keeper,50000000,Sunrisers Hyderabad,2018.0,Indian,1984-10-24,0.0
Yusuf Pathan,All-Rounder,19000000,Sunrisers Hyderabad,2018.0,Indian,1982-11-17,1.0
Yuvraj Singh,All-Rounder,20000000,Kings XI Punjab,2018.0,Indian,,1.0
Yuzvendra Singh Chahal,Bowler,60000000,Royal Challengers Bangalore,2018.0,Indian,,1.0
Zahir Khan Pakteen,Bowler,6000000,Rajasthan Royals,2018.0,Indian,,0.0
